Store,Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
1,2010-02-05,1643690.9,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
2,2010-02-05,2136989.46,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
3,2010-02-05,461622.22,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
4,2010-02-05,2135143.87,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
5,2010-02-05,317173.10000000003,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
6,2010-02-05,1652635.1,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
7,2010-02-05,496725.44,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
8,2010-02-05,1004137.0899999995,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
9,2010-02-05,549505.55,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
10,2010-02-05,2193048.7499999995,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
11,2010-02-05,1528008.64,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
12,2010-02-05,1100046.3699999996,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
13,2010-02-05,1967220.53,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
14,2010-02-05,2623469.950000001,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
15,2010-02-05,652122.44,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
16,2010-02-05,477409.29999999993,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
17,2010-02-05,789036.02,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
18,2010-02-05,1205307.5,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
19,2010-02-05,1507637.17,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
20,2010-02-05,2401395.47,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
21,2010-02-05,798593.88,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
22,2010-02-05,1033017.37,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
23,2010-02-05,1364721.58,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
24,2010-02-05,1388725.63,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
25,2010-02-05,677231.6300000001,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
26,2010-02-05,1034119.21,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
27,2010-02-05,1874289.79,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
28,2010-02-05,1672352.29,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
29,2010-02-05,538634.46,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
30,2010-02-05,465108.52,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
31,2010-02-05,1469252.05,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
32,2010-02-05,1087616.19,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
33,2010-02-05,274593.43,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
34,2010-02-05,956228.9600000002,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
35,2010-02-05,1230613.4999999998,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
36,2010-02-05,467546.74,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
37,2010-02-05,536006.73,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
38,2010-02-05,358496.14,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
39,2010-02-05,1230596.8000000005,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
40,2010-02-05,1001943.8000000002,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
41,2010-02-05,1086533.18,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
42,2010-02-05,543384.01,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
43,2010-02-05,647029.2799999999,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
44,2010-02-05,281090.95,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
45,2010-02-05,890689.5099999999,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566
1,2010-02-12,1641957.44,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
2,2010-02-12,2137809.5,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
3,2010-02-12,420728.96,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
4,2010-02-12,2188307.39,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
5,2010-02-12,311825.7,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
6,2010-02-12,1606283.86,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
7,2010-02-12,524104.92,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
8,2010-02-12,994801.4,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
9,2010-02-12,552677.4800000001,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
10,2010-02-12,2176028.52,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
11,2010-02-12,1574684.0799999996,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
12,2010-02-12,1117863.3299999996,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
13,2010-02-12,2030933.46,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
14,2010-02-12,1704218.84,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
15,2010-02-12,682447.1000000001,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
16,2010-02-12,472044.28,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
17,2010-02-12,841951.9100000001,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
18,2010-02-12,1187880.7000000004,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
19,2010-02-12,1536549.95,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
20,2010-02-12,2109107.9,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
21,2010-02-12,809321.4400000002,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
22,2010-02-12,1022571.25,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.80046980000003,6.566
